Scope: 133 files  (2015-01 through 2026-01)

  [fetch] ontime_2015_01.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_02.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_03.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_04.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_05.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_06.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_07.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_08.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_09.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_10.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
  [fetch] ontime_2015_11.zip ... SCHEMA MISMATCH � missing: ['ACTUAL_ELAPSED_TIME', 'AIR_TIME', 'ARR_DELAY', 'ARR_DELAY_NEW', 'ARR_TIME', 'CANCELLATION_CODE', 'CANCELLED', 'CARRIER_DELAY', 'CRS_ARR_TIME', 'CRS_DEP_TIME', 'CRS_ELAPSED_TIME', 'DAY_OF_WEEK', 'DEP_DELAY', 'DEP_DELAY_NEW', 'DEP_TIME', 'DEST', 'DEST_CITY_NAME', 'DEST_STATE_ABR', 'DISTANCE', 'DIVERTED', 'FL_DATE', 'LATE_AIRCRAFT_DELAY', 'MONTH', 'NAS_DELAY', 'OP_CARRIER_FL_NUM', 'OP_UNIQUE_CARRIER', 'ORIGIN', 'ORIGIN_CITY_NAME', 'ORIGIN_STATE_NM', 'SECURITY_DELAY', 'TAXI_IN', 'TAXI_OUT', 'WEATHER_DELAY']
